Marilyn Monroe,Panqueque,Adherir,Graciosa,Mosaico
Venado,Cinta métrica,Abollar,Muchacho,Estampilla
Montevideo,Juego de damas,Transportar,Tormenta,Registrar
Almacén,Curita,Avergonzar,Y.P.F.,Espacio
Pescado,Saquito de té,Apuñalar,Lotería,Derecha
Velódromo,Cucharón,Tallar,Vacío,Salto en largo
Océano,Cable carril,Crecer,Funicular,Oso de peluche
Playa,Linterna,Estornudar,Mediano,Calefacción
La City,Imán,Separar,Lejos,Chapas patente
Bíceps,Hilo dental,Adoptar,Fumar continuamente,Papila gustativa
Yugoslavia,Cortina,Tartamudear,Adolescente,As
Jardín,Botella,Vibrar,Patrullero,Poco profundo
Niño,Día del niño,Diferenciar,Regla de medir,Patito de goma
Pingüino,Lechuga,Flojear,Juez,Trasero
Sonrisa,Humo,Fugarse,Oxígeno,Salto de esquí
Gaucho,Batuta,Fracasar,Cafeína,Largo
Araña,Viñedo,Alarmar,Gordinflón,Plaza
Banco Central,Perfume,Incendiar,Grieta,Bote salvavidas
Pollo,Dinamita,Afirmar,Lupa,Terreno
Islas Malvinas,Chicle,Hechizar,Volumen,Pantalones
Muñeca,Monedero,Remolcar,Civil,Pulmón
Huerto,Sello de goma,Taladrar,Duro,Moneda
Rata,Llavero,Buscar,Cheque en blanco,Sol
Viuda negra,Radiador,Marcar ganado,Intendente,Baño de espuma
Madre,Funda de almohada,Zambullir,No,Gordo
Palacio,Guitarra,Aplaudir,Gimnasia,Inundación
Río Nilo,Compás,Enlazar,Bruja,Base de lanzamiento
Mendoza,Portafolios,Cronometrar,Cita,Dureza
Pestañas,Avión,Empalmar,Hombreras,Deshidratado
Señor,Voto,Arrugarse,Maduro,Rampa de salida
El Papa,Mástil,Adelgazar,Brillante,Aerosillas
Toro,Papel picado,Graduar,Meñique,Extinto
Japón,Coco,Contemplar,Contento,Maza
Lima,Collar,Quemar,Tijera para uñas,Combustible
Calle,Cucurucho,Soplar,Formal,Pirograbado
Vestíbulo,Calentador,Colgar,Burbujas,Dedo gordo del pie
Desierto,Escritorio,Enterrar,Espejo retrovisor,Mal aliento
Sala de reuniones,Porción,Vender,Media vuelta,Estrella
España,Algarrobo,Empatar,Cóncavo,Escala de Richter
Country Club,Trapo,Cavar,Orejas de conejo,Sendero
Hércules,Cuchillo,Parpadear,Alambrado,Chancho
Cucaracha,Portón,Tropezar,Cuarto oscuro,Huracán
Banco,Aro de básquet,Telefonear,Cabina,Cuatro en punto
Yo,Yunque,Saludar,Linyera,Dolor de espalda
